1370145689980,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,undefined,undefined,1395.0
1370145689980,7c7b67b662d9045db8d90bfd9bce9a53,40,7,true,200,false,1395.0
1370145689980,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,undefined,undefined,1395.0
1370145689980,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,16,true,100,false,1395.0
1370147811058,7c7b67b662d9045db8d90bfd9bce9a53,40,7,true,200,false,1635.0
1370147811058,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,,,1635.0
1370147811058,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,20,true,100,false,1635.0
1370147811058,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,,,1635.0
1370147849772,7c7b67b662d9045db8d90bfd9bce9a53,40,7,true,200,false,1635.0
1370147849772,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,,,1635.0
1370147849772,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,20,true,100,false,1635.0
1370147849772,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,,,1635.0
1370148450214,7c7b67b662d9045db8d90bfd9bce9a53,40,7,true,200,false,1635.0
1370148450214,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,,,1635.0
1370148450214,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,20,true,100,false,1635.0
1370148450214,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,,,1635.0
1370149552106,7c7b67b662d9045db8d90bfd9bce9a53,40,7,true,200,false,1635.0
1370149552106,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1635.0
1370149552106,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,20,true,100,false,1635.0
1370149552106,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1635.0
1370150151947,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1635.0
1370150151947,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1635.0
1370150151947,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,20,true,100,false,1635.0
1370150151947,7c7b67b662d9045db8d90bfd9bce9a53,40,7,true,200,false,1635.0
1370150752941,7c7b67b662d9045db8d90bfd9bce9a53,40,7,true,200,false,1635.0
1370150752941,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1635.0
1370150752941,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,20,true,100,false,1635.0
1370150752941,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1635.0
1370151352666,7c7b67b662d9045db8d90bfd9bce9a53,40,8,true,200,false,1735.0
1370151352666,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1735.0
1370151352666,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1735.0
1370151352666,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1735.0
1370151952662,7c7b67b662d9045db8d90bfd9bce9a53,40,9,true,200,false,1775.0
1370151952662,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1775.0
1370151952662,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1775.0
1370151952662,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1775.0
1370152552743,7c7b67b662d9045db8d90bfd9bce9a53,40,10,true,200,false,1815.0
1370152552743,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1815.0
1370152552743,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1815.0
1370152552743,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1815.0
1370153152874,7c7b67b662d9045db8d90bfd9bce9a53,40,10,true,200,false,1815.0
1370153152874,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1815.0
1370153152874,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1815.0
1370153152874,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1815.0
1370153752437,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1776.0
1370153752437,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1776.0
1370153752437,7c7b67b662d9045db8d90bfd9bce9a53,40,10,true,200,false,1776.0
1370153752437,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1776.0
1370154352293,7c7b67b662d9045db8d90bfd9bce9a53,40,10,true,200,false,1776.0
1370154352293,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1776.0
1370154352293,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1776.0
1370154352293,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1776.0
1370154953482,7c7b67b662d9045db8d90bfd9bce9a53,40,9,true,200,false,1776.0
1370154953482,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1776.0
1370154953482,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1776.0
1370154953482,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1776.0
1370155553197,7c7b67b662d9045db8d90bfd9bce9a53,40,9,true,200,false,1776.0
1370155553197,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1776.0
1370155553197,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1776.0
1370155553197,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1776.0
1370156153100,7c7b67b662d9045db8d90bfd9bce9a53,40,9,true,200,false,1776.0
1370156153100,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1776.0
1370156153100,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1776.0
1370156153100,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1776.0
1370156754752,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1776.0
1370156754752,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1776.0
1370156754752,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1776.0
1370156754752,7c7b67b662d9045db8d90bfd9bce9a53,40,9,true,200,false,1776.0
1370157354004,7c7b67b662d9045db8d90bfd9bce9a53,40,9,true,200,false,1776.0
1370157354004,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1776.0
1370157354004,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,21,true,100,false,1776.0
1370157354004,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1776.0
1370157953935,7c7b67b662d9045db8d90bfd9bce9a53,40,10,true,200,false,1921.0
1370157953935,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1921.0
1370157953935,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1921.0
1370157953935,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,22,true,100,false,1921.0
1370158553777,7c7b67b662d9045db8d90bfd9bce9a53,40,10,true,200,false,1921.0
1370158553777,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1921.0
1370158553777,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,22,true,100,false,1921.0
1370158553777,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1921.0
1370159153433,7c7b67b662d9045db8d90bfd9bce9a53,40,10,true,200,false,1921.0
1370159153433,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1921.0
1370159153433,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,22,true,100,false,1921.0
1370159153433,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1921.0
1370159754107,ce38ce21e26d15ed341ee1aeaaec762c,65,1,false,0,false,1921.0
1370159754107,9c5a06d6366d41bcdbbb54df1184a8d6,45,0,false,0,false,1921.0
1370159754107,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,22,true,100,false,1921.0
1370159754107,7c7b67b662d9045db8d90bfd9bce9a53,40,10,true,200,false,1921.0
1370160353004,7c7b67b662d9045db8d90bfd9bce9a53,40,10,true,200,false,1921.0
1370160353004,4ae2e0afc2a1014d7e226e96d2e2cdfb,60,22,true,100,false,1921.0
