1370145687569,d5d715a1d5bac12a82f80d949993fd03,50,1,false,undefined,undefined,80.0
1370145687569,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,undefined,undefined,80.0
1370145687569,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,undefined,undefined,80.0
1370147808258,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,,,80.0
1370147808258,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,,,80.0
1370147808258,d5d715a1d5bac12a82f80d949993fd03,50,1,false,,,80.0
1370147847186,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,,,80.0
1370147847186,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,,,80.0
1370147847186,d5d715a1d5bac12a82f80d949993fd03,50,1,false,,,80.0
1370148446574,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,,,80.0
1370148446574,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,,,80.0
1370148446574,d5d715a1d5bac12a82f80d949993fd03,50,1,false,,,80.0
1370149550051,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370149550051,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370149550051,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370150149233,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370150149233,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370150149233,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370150749853,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370150749853,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370150749853,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370151349833,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370151349833,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370151349833,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370151949983,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370151949983,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370151949983,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370152549714,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370152549714,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370152549714,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370153149767,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370153149767,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370153149767,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370153749886,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370153749886,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370153749886,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370154349982,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370154349982,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370154349982,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370154950252,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370154950252,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370154950252,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370155550777,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370155550777,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370155550777,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370156150520,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370156150520,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370156150520,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370156751437,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370156751437,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370156751437,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370157350935,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370157350935,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370157350935,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370157950880,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370157950880,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370157950880,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370158551114,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370158551114,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370158551114,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370159150807,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370159150807,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370159150807,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370159751060,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370159751060,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370159751060,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370160350997,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370160350997,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370160350997,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370160951254,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370160951254,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370160951254,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370161551300,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370161551300,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
1370161551300,d5d715a1d5bac12a82f80d949993fd03,50,1,false,0,false,80.0
1370162151580,c8553c82d0b160e2d0a147a3a0cdc6bd,10,1,false,0,false,80.0
1370162151580,0d5cbf4c1a42b02a928eeaa78d464d5c,20,1,false,0,false,80.0
