time,id,minDonated,numBackers,isLimited,maxBackers,soldOut,pledged
1369975845160,898cf2693a97fd34718b0e0224d8ca53,10,437,FALSE,undefined,undefined,33660
1369975845160,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33660
1369975845160,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33660
1369976445276,898cf2693a97fd34718b0e0224d8ca53,10,437,FALSE,undefined,undefined,33660
1369976445276,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33660
1369976445276,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33660
1369977045189,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33660
1369977045189,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33660
1369977045189,898cf2693a97fd34718b0e0224d8ca53,10,437,FALSE,undefined,undefined,33660
1369977645408,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33660
1369977645408,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33660
1369977645408,898cf2693a97fd34718b0e0224d8ca53,10,437,FALSE,undefined,undefined,33660
1369978245392,898cf2693a97fd34718b0e0224d8ca53,10,437,FALSE,undefined,undefined,33660
1369978245392,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33660
1369978245392,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33660
1369978845632,898cf2693a97fd34718b0e0224d8ca53,10,438,FALSE,undefined,undefined,33670
1369978845632,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33670
1369978845632,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33670
1369979445394,898cf2693a97fd34718b0e0224d8ca53,10,438,FALSE,undefined,undefined,33670
1369979445394,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33670
1369979445394,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33670
1369980045597,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33670
1369980045597,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33670
1369980045597,898cf2693a97fd34718b0e0224d8ca53,10,438,FALSE,undefined,undefined,33670
1369980645488,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33680
1369980645488,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33680
1369980645488,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33680
1369981245239,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33680
1369981245239,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33680
1369981245239,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33680
1369981845183,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33680
1369981845183,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33680
1369981845183,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33680
1369982445163,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33680
1369982445163,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33680
1369982445163,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33680
1369983045530,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33680
1369983045530,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33680
1369983045530,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33680
1369983645118,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33680
1369983645118,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33680
1369983645118,fd7f844eccada29d5a441e3707ed8f8c,35,180,FALSE,undefined,undefined,33680
1369984245170,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369984245170,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369984245170,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369984845074,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369984845074,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369984845074,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369985445084,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369985445084,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369985445084,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369986045085,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369986045085,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369986045085,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369986645095,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369986645095,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369986645095,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369987245171,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369987245171,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369987245171,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369987845197,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369987845197,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369987845197,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369988445253,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369988445253,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369988445253,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369989045104,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369989045104,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369989045104,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369989645350,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369989645350,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369989645350,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369990245396,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369990245396,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369990245396,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369990844962,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369990844962,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369990844962,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369991445957,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369991445957,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369991445957,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369992045431,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369992045431,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369992045431,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369992645218,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369992645218,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369992645218,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369993245274,898cf2693a97fd34718b0e0224d8ca53,10,439,FALSE,undefined,undefined,33715
1369993245274,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33715
1369993245274,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33715
1369993845550,898cf2693a97fd34718b0e0224d8ca53,10,440,FALSE,undefined,undefined,33725
1369993845550,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33725
1369993845550,2da7f432a075de5888539fa81a5d722d,95,242,FALSE,undefined,undefined,33725
1369994445172,898cf2693a97fd34718b0e0224d8ca53,10,440,FALSE,undefined,undefined,33820
1369994445172,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33820
1369994445172,2da7f432a075de5888539fa81a5d722d,95,243,FALSE,undefined,undefined,33820
1369995045302,898cf2693a97fd34718b0e0224d8ca53,10,440,FALSE,undefined,undefined,33820
1369995045302,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33820
1369995045302,2da7f432a075de5888539fa81a5d722d,95,243,FALSE,undefined,undefined,33820
1369995645632,898cf2693a97fd34718b0e0224d8ca53,10,440,FALSE,undefined,undefined,33820
1369995645632,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33820
1369995645632,2da7f432a075de5888539fa81a5d722d,95,243,FALSE,undefined,undefined,33820
1369996245284,898cf2693a97fd34718b0e0224d8ca53,10,440,FALSE,undefined,undefined,33820
1369996245284,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33820
1369996245284,2da7f432a075de5888539fa81a5d722d,95,243,FALSE,undefined,undefined,33820
1369996845304,898cf2693a97fd34718b0e0224d8ca53,10,440,FALSE,undefined,undefined,33820
1369996845304,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33820
1369996845304,2da7f432a075de5888539fa81a5d722d,95,243,FALSE,undefined,undefined,33820
1369997445183,898cf2693a97fd34718b0e0224d8ca53,10,440,FALSE,undefined,undefined,33820
1369997445183,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33820
1369997445183,2da7f432a075de5888539fa81a5d722d,95,243,FALSE,undefined,undefined,33820
1369998045295,898cf2693a97fd34718b0e0224d8ca53,10,440,FALSE,undefined,undefined,33820
1369998045295,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33820
1369998045295,2da7f432a075de5888539fa81a5d722d,95,243,FALSE,undefined,undefined,33820
1369998645065,898cf2693a97fd34718b0e0224d8ca53,10,440,FALSE,undefined,undefined,33820
1369998645065,2da7f432a075de5888539fa81a5d722d,95,243,FALSE,undefined,undefined,33820
1369998645065,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,33820
1370007968327,898cf2693a97fd34718b0e0224d8ca53,10,441,FALSE,undefined,undefined,34020
1370007968327,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34020
1370007968327,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34020
1370008568118,898cf2693a97fd34718b0e0224d8ca53,10,441,FALSE,undefined,undefined,34020
1370008568118,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34020
1370008568118,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34020
1370009168084,898cf2693a97fd34718b0e0224d8ca53,10,441,FALSE,undefined,undefined,34020
1370009168084,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34020
1370009168084,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34020
1370009768196,898cf2693a97fd34718b0e0224d8ca53,10,441,FALSE,undefined,undefined,34020
1370009768196,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34020
