1370145683455,6a339a43bdf9727e44912b11862c0e3d,20,0,false,undefined,undefined,10.0
1370145683455,aa9c88d0eef686b53b56059b28c2f680,50,0,false,undefined,undefined,10.0
1370145683455,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
1370147804113,6a339a43bdf9727e44912b11862c0e3d,20,0,false,,,10.0
1370147804113,aa9c88d0eef686b53b56059b28c2f680,50,0,false,,,10.0
1370147804113,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
1370147843100,6a339a43bdf9727e44912b11862c0e3d,20,0,false,,,10.0
1370147843100,aa9c88d0eef686b53b56059b28c2f680,50,0,false,,,10.0
1370147843100,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
1370148442481,aa9c88d0eef686b53b56059b28c2f680,50,0,false,,,10.0
1370148442481,6a339a43bdf9727e44912b11862c0e3d,20,0,false,,,10.0
1370148442481,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
1370149545417,aa9c88d0eef686b53b56059b28c2f680,50,0,false,0,false,10.0
1370149545417,6a339a43bdf9727e44912b11862c0e3d,20,0,false,0,false,10.0
1370149545417,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
1370150145283,6a339a43bdf9727e44912b11862c0e3d,20,0,false,0,false,10.0
1370150145283,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
1370150145283,aa9c88d0eef686b53b56059b28c2f680,50,0,false,0,false,10.0
1370150745641,6a339a43bdf9727e44912b11862c0e3d,20,0,false,0,false,10.0
1370150745641,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
1370150745641,aa9c88d0eef686b53b56059b28c2f680,50,0,false,0,false,10.0
1370151345573,aa9c88d0eef686b53b56059b28c2f680,50,0,false,0,false,10.0
1370151345573,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
1370151345573,6a339a43bdf9727e44912b11862c0e3d,20,0,false,0,false,10.0
1370151945588,aa9c88d0eef686b53b56059b28c2f680,50,0,false,0,false,10.0
1370151945588,6a339a43bdf9727e44912b11862c0e3d,20,0,false,0,false,10.0
1370151945588,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
1370152545630,aa9c88d0eef686b53b56059b28c2f680,50,0,false,0,false,10.0
1370152545630,197a4346f737b207a1e55bc59e22a963,100,0,true,10,false,10.0
