1370145685913,baced7dedc4524f1652fc9038583097a,5,1,false,undefined,undefined,1175.0
1370145685913,dbcba8dc02b3cf6367095868461ae20b,10,2,false,undefined,undefined,1175.0
1370145685913,e34cb99534ca529020ed9f9543fcd404,25,0,false,undefined,undefined,1175.0
1370145685913,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1175.0
1370145685913,7b298c044d5a89ffa20f9e028265be57,50,0,false,undefined,undefined,1175.0
1370145685913,c9870e450076fc53261a9d004ec9a1a6,100,0,false,undefined,undefined,1175.0
1370145685913,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1175.0
1370145685913,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1175.0
1370145685913,afb4167dc121a55da2f2b065dff68a94,300,1,true,60,false,1175.0
1370145685913,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1175.0
1370145685913,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1175.0
1370147805869,baced7dedc4524f1652fc9038583097a,5,1,false,,,1475.0
1370147805869,dbcba8dc02b3cf6367095868461ae20b,10,2,false,,,1475.0
1370147805869,e34cb99534ca529020ed9f9543fcd404,25,0,false,,,1475.0
1370147805869,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
1370147805869,7b298c044d5a89ffa20f9e028265be57,50,0,false,,,1475.0
1370147805869,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1475.0
1370147805869,c9870e450076fc53261a9d004ec9a1a6,100,0,false,,,1475.0
1370147805869,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1475.0
1370147805869,afb4167dc121a55da2f2b065dff68a94,300,2,true,60,false,1475.0
1370147805869,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1475.0
1370147805869,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1475.0
1370147844880,baced7dedc4524f1652fc9038583097a,5,1,false,,,1475.0
1370147844880,dbcba8dc02b3cf6367095868461ae20b,10,2,false,,,1475.0
1370147844880,e34cb99534ca529020ed9f9543fcd404,25,0,false,,,1475.0
1370147844880,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
1370147844880,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1475.0
1370147844880,c9870e450076fc53261a9d004ec9a1a6,100,0,false,,,1475.0
1370147844880,7b298c044d5a89ffa20f9e028265be57,50,0,false,,,1475.0
1370147844880,afb4167dc121a55da2f2b065dff68a94,300,2,true,60,false,1475.0
1370147844880,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1475.0
1370147844880,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1475.0
1370147844880,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1475.0
1370148444499,baced7dedc4524f1652fc9038583097a,5,1,false,,,1475.0
1370148444499,dbcba8dc02b3cf6367095868461ae20b,10,2,false,,,1475.0
1370148444499,e34cb99534ca529020ed9f9543fcd404,25,0,false,,,1475.0
1370148444499,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
1370148444499,7b298c044d5a89ffa20f9e028265be57,50,0,false,,,1475.0
1370148444499,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1475.0
1370148444499,c9870e450076fc53261a9d004ec9a1a6,100,0,false,,,1475.0
1370148444499,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1475.0
1370148444499,afb4167dc121a55da2f2b065dff68a94,300,2,true,60,false,1475.0
1370148444499,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1475.0
1370148444499,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1475.0
1370149547410,baced7dedc4524f1652fc9038583097a,5,1,false,0,false,1475.0
1370149547410,e34cb99534ca529020ed9f9543fcd404,25,0,false,0,false,1475.0
1370149547410,dbcba8dc02b3cf6367095868461ae20b,10,2,false,0,false,1475.0
1370149547410,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
1370149547410,7b298c044d5a89ffa20f9e028265be57,50,0,false,0,false,1475.0
1370149547410,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1475.0
1370149547410,c9870e450076fc53261a9d004ec9a1a6,100,0,false,0,false,1475.0
1370149547410,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1475.0
1370149547410,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1475.0
1370149547410,afb4167dc121a55da2f2b065dff68a94,300,2,true,60,false,1475.0
1370149547410,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1475.0
1370150147065,e34cb99534ca529020ed9f9543fcd404,25,0,false,0,false,1475.0
1370150147065,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
1370150147065,7b298c044d5a89ffa20f9e028265be57,50,0,false,0,false,1475.0
1370150147065,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1475.0
1370150147065,c9870e450076fc53261a9d004ec9a1a6,100,0,false,0,false,1475.0
1370150147065,baced7dedc4524f1652fc9038583097a,5,1,false,0,false,1475.0
1370150147065,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1475.0
1370150147065,dbcba8dc02b3cf6367095868461ae20b,10,2,false,0,false,1475.0
1370150147065,afb4167dc121a55da2f2b065dff68a94,300,2,true,60,false,1475.0
1370150147065,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1475.0
1370150147065,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1475.0
1370150747683,baced7dedc4524f1652fc9038583097a,5,1,false,0,false,1475.0
1370150747683,e34cb99534ca529020ed9f9543fcd404,25,0,false,0,false,1475.0
1370150747683,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
1370150747683,dbcba8dc02b3cf6367095868461ae20b,10,2,false,0,false,1475.0
1370150747683,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1475.0
1370150747683,c9870e450076fc53261a9d004ec9a1a6,100,0,false,0,false,1475.0
1370150747683,7b298c044d5a89ffa20f9e028265be57,50,0,false,0,false,1475.0
1370150747683,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1475.0
1370150747683,afb4167dc121a55da2f2b065dff68a94,300,2,true,60,false,1475.0
1370150747683,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1475.0
1370150747683,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1475.0
1370151347833,7b298c044d5a89ffa20f9e028265be57,50,0,false,0,false,1475.0
1370151347833,baced7dedc4524f1652fc9038583097a,5,1,false,0,false,1475.0
1370151347833,e34cb99534ca529020ed9f9543fcd404,25,0,false,0,false,1475.0
1370151347833,dbcba8dc02b3cf6367095868461ae20b,10,2,false,0,false,1475.0
1370151347833,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1475.0
1370151347833,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
1370151347833,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1475.0
1370151347833,c9870e450076fc53261a9d004ec9a1a6,100,0,false,0,false,1475.0
1370151347833,afb4167dc121a55da2f2b065dff68a94,300,2,true,60,false,1475.0
1370151347833,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1475.0
1370151347833,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1475.0
1370151947748,baced7dedc4524f1652fc9038583097a,5,1,false,0,false,1475.0
1370151947748,e34cb99534ca529020ed9f9543fcd404,25,0,false,0,false,1475.0
1370151947748,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
1370151947748,dbcba8dc02b3cf6367095868461ae20b,10,2,false,0,false,1475.0
1370151947748,7b298c044d5a89ffa20f9e028265be57,50,0,false,0,false,1475.0
1370151947748,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1475.0
1370151947748,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1475.0
1370151947748,c9870e450076fc53261a9d004ec9a1a6,100,0,false,0,false,1475.0
1370151947748,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1475.0
1370151947748,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1475.0
1370151947748,afb4167dc121a55da2f2b065dff68a94,300,2,true,60,false,1475.0
1370152547892,baced7dedc4524f1652fc9038583097a,5,1,false,0,false,1475.0
1370152547892,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
1370152547892,e34cb99534ca529020ed9f9543fcd404,25,0,false,0,false,1475.0
1370152547892,dbcba8dc02b3cf6367095868461ae20b,10,2,false,0,false,1475.0
1370152547892,7b298c044d5a89ffa20f9e028265be57,50,0,false,0,false,1475.0
1370152547892,39ebb382b74298e663fc808a3ba361da,75,0,true,100,false,1475.0
1370152547892,da161430d6a00a22a0e1797f1eb4f2ce,200,0,true,100,false,1475.0
1370152547892,c9870e450076fc53261a9d004ec9a1a6,100,0,false,0,false,1475.0
1370152547892,afb4167dc121a55da2f2b065dff68a94,300,2,true,60,false,1475.0
1370152547892,454106703eb8f312f000353bf6e133c1,1000,0,true,10,false,1475.0
1370152547892,1d299a5a19610cc1595bcbc748307485,2500,0,true,5,false,1475.0
1370153147570,baced7dedc4524f1652fc9038583097a,5,1,false,0,false,1475.0
1370153147570,7b298c044d5a89ffa20f9e028265be57,50,0,false,0,false,1475.0
1370153147570,c98d333f72ffb07abee3aa3f7c65573e,50,0,true,50,false,1475.0
