1370145686620,2ccf9f16748eeb53ce49b8574236a947,5,0,false,undefined,undefined,60.0
1370145686620,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,undefined,undefined,60.0
1370145686620,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370145686620,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370145686620,68a835e42926bbffe30382aa4e3071be,1,0,false,undefined,undefined,60.0
1370145686620,fba32785107147975b542dcb6ed5c02e,35,0,false,undefined,undefined,60.0
1370147807239,68a835e42926bbffe30382aa4e3071be,1,0,false,,,60.0
1370147807239,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370147807239,2ccf9f16748eeb53ce49b8574236a947,5,0,false,,,60.0
1370147807239,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370147807239,fba32785107147975b542dcb6ed5c02e,35,0,false,,,60.0
1370147807239,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,,,60.0
1370147846105,68a835e42926bbffe30382aa4e3071be,1,0,false,,,60.0
1370147846105,2ccf9f16748eeb53ce49b8574236a947,5,0,false,,,60.0
1370147846105,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,,,60.0
1370147846105,fba32785107147975b542dcb6ed5c02e,35,0,false,,,60.0
1370147846105,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370147846105,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370148445675,2ccf9f16748eeb53ce49b8574236a947,5,0,false,,,60.0
1370148445675,fba32785107147975b542dcb6ed5c02e,35,0,false,,,60.0
1370148445675,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370148445675,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370148445675,68a835e42926bbffe30382aa4e3071be,1,0,false,,,60.0
1370148445675,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,,,60.0
1370149549064,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370149549064,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370149549064,fba32785107147975b542dcb6ed5c02e,35,0,false,0,false,60.0
1370149549064,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370149549064,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370149549064,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370150148200,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370150148200,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370150148200,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370150148200,fba32785107147975b542dcb6ed5c02e,35,0,false,0,false,60.0
1370150148200,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370150148200,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370150749055,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370150749055,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370150749055,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370150749055,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370150749055,fba32785107147975b542dcb6ed5c02e,35,0,false,0,false,60.0
1370150749055,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370151349046,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370151349046,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370151349046,fba32785107147975b542dcb6ed5c02e,35,0,false,0,false,60.0
1370151349046,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370151349046,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370151349046,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370151949025,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370151949025,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370151949025,fba32785107147975b542dcb6ed5c02e,35,0,false,0,false,60.0
1370151949025,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370151949025,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370151949025,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370152548864,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370152548864,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370152548864,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370152548864,fba32785107147975b542dcb6ed5c02e,35,0,false,0,false,60.0
1370152548864,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370152548864,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370153148925,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370153148925,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370153148925,fba32785107147975b542dcb6ed5c02e,35,0,false,0,false,60.0
1370153148925,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370153148925,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370153148925,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370153748918,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370153748918,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370153748918,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370153748918,fba32785107147975b542dcb6ed5c02e,35,0,false,0,false,60.0
1370153748918,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370153748918,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370154348968,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370154348968,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370154348968,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370154348968,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
1370154348968,9250307533363bed1e9f9ff6561d681d,1000,0,true,1,false,60.0
1370154348968,fba32785107147975b542dcb6ed5c02e,35,0,false,0,false,60.0
1370154949133,2ccf9f16748eeb53ce49b8574236a947,5,0,false,0,false,60.0
1370154949133,966b8688c5d74fd8ebf9830fb82036e0,10,1,false,0,false,60.0
1370154949133,68a835e42926bbffe30382aa4e3071be,1,0,false,0,false,60.0
1370154949133,ef26aaf1470679978e2f1b3de8e57af1,150,0,true,50,false,60.0
