1370145692037,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,undefined,undefined,620.0
1370145692037,521feb19f8c8f7e4dd7d3e5d4fb69759,16,25,true,245,false,620.0
1370145692037,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,620.0
1370145692037,37ca056292f593f1fc22e8b7419c08b9,18,1,false,undefined,undefined,620.0
1370147812354,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,,,636.0
1370147812354,521feb19f8c8f7e4dd7d3e5d4fb69759,16,26,true,245,false,636.0
1370147812354,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,636.0
1370147812354,37ca056292f593f1fc22e8b7419c08b9,18,1,false,,,636.0
1370147851252,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,,,636.0
1370147851252,521feb19f8c8f7e4dd7d3e5d4fb69759,16,26,true,245,false,636.0
1370147851252,37ca056292f593f1fc22e8b7419c08b9,18,1,false,,,636.0
1370147851252,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,636.0
1370148453233,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,,,636.0
1370148453233,521feb19f8c8f7e4dd7d3e5d4fb69759,16,26,true,245,false,636.0
1370148453233,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,636.0
1370148453233,37ca056292f593f1fc22e8b7419c08b9,18,1,false,,,636.0
1370149554131,521feb19f8c8f7e4dd7d3e5d4fb69759,16,26,true,245,false,636.0
1370149554131,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,636.0
1370149554131,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,636.0
1370149554131,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,636.0
1370150153656,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,603.0
1370150153656,521feb19f8c8f7e4dd7d3e5d4fb69759,16,25,true,245,false,603.0
1370150153656,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,603.0
1370150153656,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,603.0
1370150755270,521feb19f8c8f7e4dd7d3e5d4fb69759,16,25,true,245,false,603.0
1370150755270,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,603.0
1370150755270,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,603.0
1370150755270,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,603.0
1370151354728,521feb19f8c8f7e4dd7d3e5d4fb69759,16,25,true,245,false,603.0
1370151354728,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,603.0
1370151354728,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,603.0
1370151354728,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,603.0
1370151954404,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,603.0
1370151954404,521feb19f8c8f7e4dd7d3e5d4fb69759,16,25,true,245,false,603.0
1370151954404,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,603.0
1370151954404,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,603.0
1370152554667,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,619.0
1370152554667,521feb19f8c8f7e4dd7d3e5d4fb69759,16,26,true,245,false,619.0
1370152554667,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,619.0
1370152554667,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,619.0
1370153154505,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,604.0
1370153154505,521feb19f8c8f7e4dd7d3e5d4fb69759,16,26,true,245,false,604.0
1370153154505,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,604.0
1370153154505,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,604.0
1370153754264,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,604.0
1370153754264,521feb19f8c8f7e4dd7d3e5d4fb69759,16,26,true,245,false,604.0
1370153754264,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,604.0
1370153754264,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,604.0
1370154354466,521feb19f8c8f7e4dd7d3e5d4fb69759,16,26,true,245,false,604.0
1370154354466,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,604.0
1370154354466,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,604.0
1370154354466,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,604.0
1370154954949,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,604.0
1370154954949,521feb19f8c8f7e4dd7d3e5d4fb69759,16,25,true,245,false,604.0
1370154954949,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,604.0
1370154954949,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,604.0
1370155555373,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,604.0
1370155555373,521feb19f8c8f7e4dd7d3e5d4fb69759,16,25,true,245,false,604.0
1370155555373,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,604.0
1370155555373,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,604.0
1370156154815,9dbd69a52e18af64e8bcbfc4644989db,1,3,false,0,false,604.0
1370156154815,521feb19f8c8f7e4dd7d3e5d4fb69759,16,25,true,245,false,604.0
1370156154815,9fbaa30adf5e1d64487638cc3520bab2,16,5,true,5,true,604.0
1370156154815,37ca056292f593f1fc22e8b7419c08b9,18,1,false,0,false,604.0
