1370145688657,c4cf731d60af7bd450aa3a8b6140ff7e,25,1,false,undefined,undefined,303.0
1370145688657,f51adc5b79dd4f7ff1bacc3cd543eb2c,15,3,false,undefined,undefined,303.0
1370145688657,b7802e48c4b0045a0a362f18a77f9ea0,10,0,true,15,false,303.0
1370145688657,24aff4f9084457a401996d3d0245d4d1,20,2,true,15,false,303.0
1370145688657,7d3faa398825d2be2b084c13029c02d3,75,0,true,5,false,303.0
1370145688657,82a97cdc81a48775d455a1da1ca9928a,5,8,false,undefined,undefined,303.0
1370145688657,0c4987d1b21d9f0448ec39e858b55577,30,4,true,15,false,303.0
1370147812635,82a97cdc81a48775d455a1da1ca9928a,5,8,false,,,303.0
1370147812635,b7802e48c4b0045a0a362f18a77f9ea0,10,0,true,15,false,303.0
1370147812635,f51adc5b79dd4f7ff1bacc3cd543eb2c,15,3,false,,,303.0
1370147812635,24aff4f9084457a401996d3d0245d4d1,20,2,true,15,false,303.0
1370147812635,c4cf731d60af7bd450aa3a8b6140ff7e,25,1,false,,,303.0
1370147812635,0c4987d1b21d9f0448ec39e858b55577,30,4,true,15,false,303.0
1370147812635,7d3faa398825d2be2b084c13029c02d3,75,0,true,5,false,303.0
1370147851582,82a97cdc81a48775d455a1da1ca9928a,5,8,false,,,303.0
1370147851582,b7802e48c4b0045a0a362f18a77f9ea0,10,0,true,15,false,303.0
1370147851582,c4cf731d60af7bd450aa3a8b6140ff7e,25,1,false,,,303.0
1370147851582,24aff4f9084457a401996d3d0245d4d1,20,2,true,15,false,303.0
1370147851582,0c4987d1b21d9f0448ec39e858b55577,30,4,true,15,false,303.0
1370147851582,f51adc5b79dd4f7ff1bacc3cd543eb2c,15,3,false,,,303.0
1370147851582,7d3faa398825d2be2b084c13029c02d3,75,0,true,5,false,303.0
1370148452497,c4cf731d60af7bd450aa3a8b6140ff7e,25,1,false,,,303.0
1370148452497,b7802e48c4b0045a0a362f18a77f9ea0,10,0,true,15,false,303.0
1370148452497,24aff4f9084457a401996d3d0245d4d1,20,2,true,15,false,303.0
1370148452497,0c4987d1b21d9f0448ec39e858b55577,30,4,true,15,false,303.0
1370148452497,82a97cdc81a48775d455a1da1ca9928a,5,8,false,,,303.0
1370148452497,f51adc5b79dd4f7ff1bacc3cd543eb2c,15,3,false,,,303.0
1370148452497,7d3faa398825d2be2b084c13029c02d3,75,0,true,5,false,303.0
1370149554174,82a97cdc81a48775d455a1da1ca9928a,5,8,false,0,false,303.0
1370149554174,b7802e48c4b0045a0a362f18a77f9ea0,10,0,true,15,false,303.0
1370149554174,f51adc5b79dd4f7ff1bacc3cd543eb2c,15,3,false,0,false,303.0
1370149554174,24aff4f9084457a401996d3d0245d4d1,20,2,true,15,false,303.0
1370149554174,c4cf731d60af7bd450aa3a8b6140ff7e,25,1,false,0,false,303.0
1370149554174,0c4987d1b21d9f0448ec39e858b55577,30,4,true,15,false,303.0
1370149554174,7d3faa398825d2be2b084c13029c02d3,75,0,true,5,false,303.0
1370150153555,82a97cdc81a48775d455a1da1ca9928a,5,8,false,0,false,303.0
1370150153555,b7802e48c4b0045a0a362f18a77f9ea0,10,0,true,15,false,303.0
1370150153555,24aff4f9084457a401996d3d0245d4d1,20,2,true,15,false,303.0
1370150153555,f51adc5b79dd4f7ff1bacc3cd543eb2c,15,3,false,0,false,303.0
1370150153555,c4cf731d60af7bd450aa3a8b6140ff7e,25,1,false,0,false,303.0
1370150153555,0c4987d1b21d9f0448ec39e858b55577,30,4,true,15,false,303.0
1370150153555,7d3faa398825d2be2b084c13029c02d3,75,0,true,5,false,303.0
1370150755351,82a97cdc81a48775d455a1da1ca9928a,5,8,false,0,false,303.0
1370150755351,b7802e48c4b0045a0a362f18a77f9ea0,10,0,true,15,false,303.0
1370150755351,f51adc5b79dd4f7ff1bacc3cd543eb2c,15,3,false,0,false,303.0
1370150755351,24aff4f9084457a401996d3d0245d4d1,20,2,true,15,false,303.0
1370150755351,c4cf731d60af7bd450aa3a8b6140ff7e,25,1,false,0,false,303.0
1370150755351,0c4987d1b21d9f0448ec39e858b55577,30,4,true,15,false,303.0
1370150755351,7d3faa398825d2be2b084c13029c02d3,75,0,true,5,false,303.0
1370151354900,82a97cdc81a48775d455a1da1ca9928a,5,8,false,0,false,328.0
1370151354900,c4cf731d60af7bd450aa3a8b6140ff7e,25,1,false,0,false,328.0
1370151354900,24aff4f9084457a401996d3d0245d4d1,20,2,true,15,false,328.0
1370151354900,f51adc5b79dd4f7ff1bacc3cd543eb2c,15,4,false,0,false,328.0
