1370145683811,4db48ca246ede903de38d7a4cd71a7bc,5,0,false,undefined,undefined,75.0
1370145683811,175bda0f245015e2c6d033ecb19b8007,20,0,false,undefined,undefined,75.0
1370145683811,4d1bbf7f8a243afb023cfff326db0783,25,3,true,1000,false,75.0
1370145683811,6c377e7da0c0b503bb489c45f4576939,50,0,true,1000,false,75.0
1370145683811,fe9d8537b88df74d6318f0b9792ba379,100,0,true,500,false,75.0
1370145683811,f510f68ae7db97fb0ec704096dc564b6,200,0,true,500,false,75.0
1370145683811,5f0467cc509e7575ca61bebf6e35b7aa,500,0,true,10,false,75.0
1370145683811,8c32aa272059f6f29647cc6dad30ddff,1000,0,true,10,false,75.0
1370145683811,ec885c39ee8c5f54947ae2a6c39908db,3000,0,true,5,false,75.0
1370147804030,4db48ca246ede903de38d7a4cd71a7bc,5,0,false,,,75.0
1370147804030,175bda0f245015e2c6d033ecb19b8007,20,0,false,,,75.0
1370147804030,4d1bbf7f8a243afb023cfff326db0783,25,3,true,1000,false,75.0
1370147804030,6c377e7da0c0b503bb489c45f4576939,50,0,true,1000,false,75.0
1370147804030,fe9d8537b88df74d6318f0b9792ba379,100,0,true,500,false,75.0
1370147804030,f510f68ae7db97fb0ec704096dc564b6,200,0,true,500,false,75.0
1370147804030,5f0467cc509e7575ca61bebf6e35b7aa,500,0,true,10,false,75.0
1370147804030,8c32aa272059f6f29647cc6dad30ddff,1000,0,true,10,false,75.0
1370147804030,ec885c39ee8c5f54947ae2a6c39908db,3000,0,true,5,false,75.0
1370147843216,4db48ca246ede903de38d7a4cd71a7bc,5,0,false,,,75.0
1370147843216,175bda0f245015e2c6d033ecb19b8007,20,0,false,,,75.0
1370147843216,4d1bbf7f8a243afb023cfff326db0783,25,3,true,1000,false,75.0
1370147843216,6c377e7da0c0b503bb489c45f4576939,50,0,true,1000,false,75.0
1370147843216,fe9d8537b88df74d6318f0b9792ba379,100,0,true,500,false,75.0
1370147843216,f510f68ae7db97fb0ec704096dc564b6,200,0,true,500,false,75.0
1370147843216,5f0467cc509e7575ca61bebf6e35b7aa,500,0,true,10,false,75.0
1370147843216,8c32aa272059f6f29647cc6dad30ddff,1000,0,true,10,false,75.0
1370147843216,ec885c39ee8c5f54947ae2a6c39908db,3000,0,true,5,false,75.0
1370148442544,4db48ca246ede903de38d7a4cd71a7bc,5,0,false,,,75.0
1370148442544,175bda0f245015e2c6d033ecb19b8007,20,0,false,,,75.0
1370148442544,4d1bbf7f8a243afb023cfff326db0783,25,3,true,1000,false,75.0
1370148442544,5f0467cc509e7575ca61bebf6e35b7aa,500,0,true,10,false,75.0
1370148442544,fe9d8537b88df74d6318f0b9792ba379,100,0,true,500,false,75.0
1370148442544,8c32aa272059f6f29647cc6dad30ddff,1000,0,true,10,false,75.0
1370148442544,ec885c39ee8c5f54947ae2a6c39908db,3000,0,true,5,false,75.0
1370148442544,6c377e7da0c0b503bb489c45f4576939,50,0,true,1000,false,75.0
1370148442544,f510f68ae7db97fb0ec704096dc564b6,200,0,true,500,false,75.0
1370149545476,4db48ca246ede903de38d7a4cd71a7bc,5,0,false,0,false,275.0
1370149545476,175bda0f245015e2c6d033ecb19b8007,20,0,false,0,false,275.0
1370149545476,4d1bbf7f8a243afb023cfff326db0783,25,3,true,1000,false,275.0
1370149545476,6c377e7da0c0b503bb489c45f4576939,50,0,true,1000,false,275.0
1370149545476,fe9d8537b88df74d6318f0b9792ba379,100,0,true,500,false,275.0
1370149545476,f510f68ae7db97fb0ec704096dc564b6,200,1,true,500,false,275.0
1370149545476,5f0467cc509e7575ca61bebf6e35b7aa,500,0,true,10,false,275.0
1370149545476,8c32aa272059f6f29647cc6dad30ddff,1000,0,true,10,false,275.0
1370149545476,ec885c39ee8c5f54947ae2a6c39908db,3000,0,true,5,false,275.0
1370150145487,4db48ca246ede903de38d7a4cd71a7bc,5,0,false,0,false,275.0
1370150145487,175bda0f245015e2c6d033ecb19b8007,20,0,false,0,false,275.0
1370150145487,4d1bbf7f8a243afb023cfff326db0783,25,3,true,1000,false,275.0
1370150145487,6c377e7da0c0b503bb489c45f4576939,50,0,true,1000,false,275.0
1370150145487,fe9d8537b88df74d6318f0b9792ba379,100,0,true,500,false,275.0
1370150145487,f510f68ae7db97fb0ec704096dc564b6,200,1,true,500,false,275.0
1370150145487,5f0467cc509e7575ca61bebf6e35b7aa,500,0,true,10,false,275.0
1370150145487,8c32aa272059f6f29647cc6dad30ddff,1000,0,true,10,false,275.0
1370150145487,ec885c39ee8c5f54947ae2a6c39908db,3000,0,true,5,false,275.0
1370150745486,175bda0f245015e2c6d033ecb19b8007,20,0,false,0,false,275.0
1370150745486,6c377e7da0c0b503bb489c45f4576939,50,0,true,1000,false,275.0
1370150745486,4d1bbf7f8a243afb023cfff326db0783,25,3,true,1000,false,275.0
1370150745486,fe9d8537b88df74d6318f0b9792ba379,100,0,true,500,false,275.0
1370150745486,f510f68ae7db97fb0ec704096dc564b6,200,1,true,500,false,275.0
1370150745486,5f0467cc509e7575ca61bebf6e35b7aa,500,0,true,10,false,275.0
1370150745486,8c32aa272059f6f29647cc6dad30ddff,1000,0,true,10,false,275.0
1370150745486,4db48ca246ede903de38d7a4cd71a7bc,5,0,false,0,false,275.0
1370150745486,ec885c39ee8c5f54947ae2a6c39908db,3000,0,true,5,false,275.0
1370151345670,4db48ca246ede903de38d7a4cd71a7bc,5,0,false,0,false,275.0
1370151345670,175bda0f245015e2c6d033ecb19b8007,20,0,false,0,false,275.0
