1370145688295,d7d1eff843dfc975f08466e5b4143df4,5,0,false,undefined,undefined,10.0
1370145688295,028e083bf4fba7ecfa02627020616a16,10,0,true,100,false,10.0
1370145688295,46a2d5baf45b423400960db300d30ac8,25,0,true,75,false,10.0
1370145688295,a51eff7c6cd97b2608e40b148f0cbd3f,50,0,true,50,false,10.0
1370145688295,6caf6f8a984006be4ee11769532dcd1e,75,0,true,20,false,10.0
1370145688295,e6d0d06055a0c1d3562414dde72c491a,100,0,true,25,false,10.0
1370145688295,e94a806f34645bbc5075ca9779fe11ab,250,0,true,15,false,10.0
1370145688295,b80057f2a0c30a6dc83c1144775300ab,500,0,true,10,false,10.0
1370145688295,9a6d3d9d8310b1d29a3131b6935ecd08,1000,0,true,3,false,10.0
1370145688295,f1136ce566efe993ca1cc9d2e4f69835,750,0,true,10,false,10.0
1370147807967,d7d1eff843dfc975f08466e5b4143df4,5,0,false,,,10.0
1370147807967,028e083bf4fba7ecfa02627020616a16,10,0,true,100,false,10.0
1370147807967,46a2d5baf45b423400960db300d30ac8,25,0,true,75,false,10.0
1370147807967,e6d0d06055a0c1d3562414dde72c491a,100,0,true,25,false,10.0
1370147807967,9a6d3d9d8310b1d29a3131b6935ecd08,1000,0,true,3,false,10.0
1370147807967,e94a806f34645bbc5075ca9779fe11ab,250,0,true,15,false,10.0
1370147807967,a51eff7c6cd97b2608e40b148f0cbd3f,50,0,true,50,false,10.0
1370147807967,b80057f2a0c30a6dc83c1144775300ab,500,0,true,10,false,10.0
1370147807967,f1136ce566efe993ca1cc9d2e4f69835,750,0,true,10,false,10.0
1370147807967,6caf6f8a984006be4ee11769532dcd1e,75,0,true,20,false,10.0
1370147846758,d7d1eff843dfc975f08466e5b4143df4,5,0,false,,,10.0
1370147846758,028e083bf4fba7ecfa02627020616a16,10,0,true,100,false,10.0
1370147846758,46a2d5baf45b423400960db300d30ac8,25,0,true,75,false,10.0
1370147846758,e6d0d06055a0c1d3562414dde72c491a,100,0,true,25,false,10.0
1370147846758,e94a806f34645bbc5075ca9779fe11ab,250,0,true,15,false,10.0
1370147846758,6caf6f8a984006be4ee11769532dcd1e,75,0,true,20,false,10.0
1370147846758,a51eff7c6cd97b2608e40b148f0cbd3f,50,0,true,50,false,10.0
1370147846758,b80057f2a0c30a6dc83c1144775300ab,500,0,true,10,false,10.0
1370147846758,f1136ce566efe993ca1cc9d2e4f69835,750,0,true,10,false,10.0
1370147846758,9a6d3d9d8310b1d29a3131b6935ecd08,1000,0,true,3,false,10.0
1370148446792,d7d1eff843dfc975f08466e5b4143df4,5,0,false,,,20.0
1370148446792,028e083bf4fba7ecfa02627020616a16,10,0,true,100,false,20.0
1370148446792,46a2d5baf45b423400960db300d30ac8,25,0,true,75,false,20.0
1370148446792,a51eff7c6cd97b2608e40b148f0cbd3f,50,0,true,50,false,20.0
1370148446792,6caf6f8a984006be4ee11769532dcd1e,75,0,true,20,false,20.0
1370148446792,e6d0d06055a0c1d3562414dde72c491a,100,0,true,25,false,20.0
